id,refseq,gene,chrom,start,end
K06903,K06903,K06903,,,
K06907,K06907,K06907,,,
K06908,K06908,K06908,,,
K06906,K06906,K06906,,,
K06905,K06905,K06905,,,
K14170,K14170,K14170,,,
K05809,K05809,K05809,,,
K05807,K05807,K05807,,,
K06180,K06180,K06180,,,
K05810,K05810,K05810,,,
K03695,K03695,K03695,,,
K03761,K03761,K03761,,,
K05811,K05811,K05811,,,
K00998,K00998,K00998,,,
K09181,K09181,K09181,,,
K05812,K05812,K05812,,,
K03672,K03672,K03672,,,
K03214,K03214,K03214,,,
K03648,K03648,K03648,,,
K06866,K06866,K06866,,,
K05590,K05590,K05590,,,
K15460,K15460,K15460,,,
K00278,K00278,K00278,,,
K03088,K03088,K03088,,,
K03597,K03597,K03597,,,
K03598,K03598,K03598,,,
K03803,K03803,K03803,,,
K07497,K07497,K07497,,,
K07497,K07497,K07497,,,
K02406,K02406,K02406,,,
K07496,K07496,K07496,,,
K03596,K03596,K03596,,,
K03100,K03100,K03100,,,
K03685,K03685,K03685,,,
K03595,K03595,K03595,,,
K03584,K03584,K03584,,,
K03474,K03474,K03474,,,
K00997,K00997,K00997,,,
K07106,K07106,K07106,,,
K02809,K02809,K02809,,,
K02810,K02810,K02810,,,
K18697,K18697,K18697,,,
K11991,K11991,K11991,,,
K18691,K18691,K18691,,,
K01952,K01952,K01952,,,
K07711,K07711,K07711,,,
K07715,K07715,K07715,,,
K04751,K04751,K04751,,,
K05916,K05916,K05916,,,
K00600,K00600,K00600,,,
K15977,K15977,K15977,,,
K05820,K05820,K05820,,,
K01092,K01092,K01092,,,
K15396,K15396,K15396,,,
K13643,K13643,K13643,,,
K04487,K04487,K04487,,,
K04488,K04488,K04488,,,
K13628,K13628,K13628,,,
K04082,K04082,K04082,,,
K04044,K04044,K04044,,,
K04755,K04755,K04755,,,
K07751,K07751,K07751,,,
K01011,K01011,K01011,,,
K01232,K01232,K01232,,,
K02790,K02790,K02790,,,
K02791,K02791,K02791,,,
K06894,K06894,K06894,,,
K05367,K05367,K05367,,,
K07306,K07306,K07306,,,
K07307,K07307,K07307,,,
K07308,K07308,K07308,,,
K00940,K00940,K00940,,,
K06941,K06941,K06941,,,
K15539,K15539,K15539,,,
K03526,K03526,K03526,,,
K01892,K01892,K01892,,,
K17713,K17713,K17713,,,
K03977,K03977,K03977,,,
K03305,K03305,K03305,,,
K03601,K03601,K03601,,,
K00088,K00088,K00088,,,
K01951,K01951,K01951,,,
K05804,K05804,K05804,,,
K19586,K19586,K19586,,,
K19585,K19585,K19585,,,
K19587,K19587,K19587,,,
K01524,K01524,K01524,,,
K00937,K00937,K00937,,,
K11175,K11175,K11175,,,
K01933,K01933,K01933,,,
K01223,K01223,K01223,,,
K00761,K00761,K00761,,,
K02824,K02824,K02824,,,
K10763,K10763,K10763,,,
K01255,K01255,K01255,,,
K02761,K02761,K02761,,,
K00537,K00537,K00537,,,
K03548,K03548,K03548,,,
K03564,K03564,K03564,,,
K03567,K03567,K03567,,,
K01714,K01714,K01714,,,
K07287,K07287,K07287,,,
K01923,K01923,K01923,,,
K07054,K07054,K07054,,,
K06957,K06957,K06957,,,
K06999,K06999,K06999,,,
K01439,K01439,K01439,,,
K18324,K18324,K18324,,,
K07674,K07674,K07674,,,
K12945,K12945,K12945,,,
K03931,K03931,K03931,,,
K12112,K12112,K12112,,,
K12111,K12111,K12111,,,
K12113,K12113,K12113,,,
K06878,K06878,K06878,,,
K00615,K00615,K00615,,,
K00616,K00616,K00616,,,
K00029,K00029,K00029,,,
K00228,K00228,K00228,,,
K01448,K01448,K01448,,,
K07223,K07223,K07223,,,
K02048,K02048,K02048,,,
K02046,K02046,K02046,,,
K02047,K02047,K02047,,,
K02045,K02045,K02045,,,
K12339,K12339,K12339,,,
K00868,K00868,K00868,,,
K02777,K02777,K02777,,,
K08483,K08483,K08483,,,
K02784,K02784,K02784,,,
K01738,K01738,K01738,,,
K06203,K06203,K06203,,,
K03528,K03528,K03528,,,
K01972,K01972,K01972,,,
K09954,K09954,K09954,,,
K14347,K14347,K14347,,,
K01885,K01885,K01885,,,
K11535,K11535,K11535,,,
K03322,K03322,K03322,,,
K19265,K19265,K19265,,,
K04103,K04103,K04103,,,
K00845,K00845,K00845,,,
K02477,K02477,K02477,,,
K02478,K02478,K02478,,,
